"Neighbourhood","Neighbourhood Id","Combined Indicators","Total Population","Pop - Males","Pop - Females","Child 0-14","Youth 15-24","Pop 15 - 64 years","   Chinese","   Language - Chinese","   Language - Italian","Total Area","Healthy Food Index","Heritage Sites","Hospital Readmissions","Seniors Living Alone","911 Calls Made by Seniors"
"Newtonbrook West",36.0,"N/A",23831.0,11230.0,12595.0,2810.0,3325.0,16860.0,2650.0,1630.0,235.0,4.7,26.14,4.0,1.04,295.0,995.0
"Willowdale West",37.0,"N/A",16936.0,7990.0,8945.0,1785.0,2230.0,11775.0,3655.0,2225.0,90.0,2.9,17.67,3.0,1.05,320.0,616.0
"Lansing-Westgate",38.0,"N/A",16164.0,7680.0,8490.0,2420.0,2105.0,11595.0,1740.0,840.0,10.0,5.4,19.11,10.0,1.1,105.0,652.0
"Bedford Park-Nortown",39.0,"N/A",23236.0,10845.0,12390.0,4555.0,3210.0,14700.0,1030.0,330.0,85.0,5.5,47.74,7.0,0.65,310.0,1228.0
"St.Andrew-Windfields",40.0,"N/A",17812.0,8525.0,9290.0,2645.0,2540.0,11935.0,3845.0,2175.0,30.0,7.3,18.23,13.0,0.89,115.0,604.0
"Bridle Path-Sunnybrook-York Mills",41.0,"N/A",9266.0,4460.0,4810.0,1435.0,1425.0,6045.0,1410.0,660.0,0.0,8.8,22.26,34.0,0.69,55.0,325.0
"Banbury-Don Mills",42.0,"N/A",27695.0,12825.0,14875.0,3605.0,2730.0,17105.0,4630.0,2225.0,20.0,10.0,21.31,18.0,0.95,535.0,1628.0
"Victoria Village",43.0,"N/A",17510.0,8110.0,9405.0,2630.0,2030.0,11475.0,730.0,420.0,70.0,4.7,26.9,1.0,1.02,300.0,450.0
"Flemingdon Park",44.0,"N/A",21933.0,10535.0,11385.0,4385.0,3060.0,14570.0,1015.0,705.0,10.0,2.5,21.66,13.0,1.0,255.0,642.0
"Parkwoods-Donalda",45.0,"N/A",34805.0,16455.0,18350.0,5840.0,4680.0,23705.0,2875.0,1460.0,60.0,7.5,33.6,19.0,1.0,365.0,921.0
"Pleasant View",46.0,"N/A",15818.0,7600.0,8225.0,2050.0,2080.0,10575.0,5630.0,3940.0,335.0,3.0,22.56,1.0,1.1,70.0,381.0
"Don Valley Village",47.0,"N/A",27051.0,12880.0,14160.0,4065.0,3280.0,18275.0,6960.0,4570.0,15.0,4.1,37.87,3.0,1.03,210.0,727.0
"Hillcrest Village",48.0,"N/A",16934.0,7925.0,9005.0,2115.0,2170.0,10510.0,8225.0,5690.0,5.0,5.3,48.46,1.0,1.35,350.0,560.0
"Bayview Woods-Steeles",49.0,"N/A",13154.0,6025.0,7125.0,1515.0,1635.0,7960.0,4360.0,2805.0,50.0,4.1,35.61,2.0,1.21,175.0,513.0
"Newtonbrook East",50.0,"N/A",16097.0,7600.0,8500.0,1585.0,2185.0,11200.0,4830.0,3020.0,125.0,4.1,29.12,3.0,0.91,190.0,1076.0
"Willowdale East",51.0,"N/A",50434.0,23680.0,26740.0,5920.0,6940.0,38235.0,16980.0,10500.0,60.0,5.0,28.9,7.0,0.91,270.0,1063.0
"Bayview Village",52.0,"N/A",21396.0,10030.0,11360.0,2415.0,2505.0,15360.0,5860.0,3495.0,20.0,5.2,32.12,1.0,0.98,180.0,804.0
"Henry Farm",53.0,"N/A",15723.0,7685.0,8045.0,2505.0,2330.0,11765.0,3080.0,1915.0,10.0,2.6,20.8,1.0,1.08,70.0,327.0
"O'Connor-Parkview",54.0,"N/A",18675.0,9015.0,9660.0,3110.0,2385.0,12860.0,635.0,250.0,45.0,4.9,37.63,1.0,0.98,180.0,637.0
"Thorncliffe Park",55.0,"N/A",21108.0,10305.0,10810.0,5600.0,2455.0,13150.0,435.0,195.0,5.0,3.1,34.53,16.0,0.86,275.0,984.0
"Leaside-Bennington",56.0,"N/A",16828.0,8020.0,8810.0,3285.0,2175.0,10990.0,1025.0,145.0,15.0,4.8,40.94,120.0,0.84,250.0,441.0
"Broadview North",57.0,"N/A",11499.0,5460.0,6040.0,1470.0,1040.0,8165.0,470.0,190.0,10.0,1.7,31.36,20.0,0.99,185.0,365.0
"Old East York",58.0,"N/A",9233.0,4545.0,4680.0,1470.0,915.0,6240.0,745.0,210.0,45.0,2.3,24.76,1.0,1.03,150.0,291.0
"Danforth-East York",59.0,"N/A",17180.0,8245.0,8920.0,3020.0,1450.0,11505.0,1530.0,645.0,190.0,2.2,24.56,3.0,0.93,215.0,473.0
"Woodbine-Lumsden",60.0,"N/A",7865.0,3825.0,4045.0,1165.0,675.0,5610.0,730.0,365.0,60.0,1.2,27.87,1.0,1.01,105.0,290.0
"Taylor-Massey",61.0,"N/A",15683.0,7710.0,7975.0,2950.0,1690.0,11025.0,675.0,345.0,15.0,1.1,38.19,3.0,1.13,150.0,453.0
"East End-Danforth",62.0,"N/A",21381.0,10260.0,11115.0,3735.0,2210.0,15000.0,1325.0,515.0,50.0,2.6,35.29,78.0,1.19,360.0,627.0
"The Beaches",63.0,"N/A",21567.0,10235.0,11325.0,3825.0,2075.0,14795.0,615.0,70.0,5.0,3.6,31.53,166.0,0.74,240.0,573.0
"Woodbine Corridor",64.0,"N/A",12541.0,6055.0,6485.0,2325.0,1035.0,8830.0,1025.0,415.0,60.0,1.6,29.04,6.0,1.49,95.0,383.0
"Greenwood-Coxwell",65.0,"N/A",14417.0,7010.0,7415.0,2460.0,1305.0,10310.0,2090.0,1210.0,50.0,1.7,44.29,17.0,0.77,140.0,431.0
"Danforth",66.0,"N/A",9666.0,4790.0,4875.0,1675.0,920.0,6475.0,820.0,360.0,235.0,1.1,32.16,3.0,0.96,195.0,464.0
"Playter Estates-Danforth",67.0,"N/A",7804.0,3860.0,3945.0,1150.0,735.0,5430.0,505.0,105.0,15.0,0.9,42.51,45.0,1.04,100.0,275.0
"North Riverdale",68.0,"N/A",11916.0,5815.0,6095.0,1960.0,1170.0,8305.0,1230.0,620.0,35.0,1.8,47.17,62.0,0.65,155.0,779.0
"Blake-Jones",69.0,"N/A",7727.0,3745.0,3980.0,1405.0,885.0,5430.0,950.0,550.0,30.0,0.9,39.98,0.0,1.06,145.0,190.0
"South Riverdale",70.0,"N/A",27876.0,13920.0,13950.0,3975.0,2445.0,20580.0,5800.0,3700.0,0.0,9.6,45.86,347.0,0.82,400.0,784.0
"Cabbagetown-South St.James Town",71.0,"N/A",11669.0,6565.0,5105.0,800.0,1035.0,8620.0,720.0,320.0,15.0,1.4,43.71,1890.0,2.0,265.0,632.0
"Regent Park",72.0,"N/A",10803.0,5535.0,5275.0,1635.0,1775.0,8440.0,1350.0,835.0,5.0,0.6,42.52,27.0,0.91,135.0,209.0
"Moss Park",73.0,"N/A",20506.0,11645.0,8855.0,1540.0,2060.0,17075.0,1435.0,505.0,25.0,1.4,42.76,447.0,1.9,295.0,958.0
"North St.James Town",74.0,"N/A",18615.0,9880.0,8735.0,2290.0,2265.0,14585.0,890.0,500.0,5.0,0.4,34.03,117.0,1.13,325.0,630.0
"Church-Yonge Corridor",75.0,"N/A",31340.0,17125.0,14210.0,1260.0,5060.0,27080.0,3835.0,1580.0,55.0,1.4,33.5,660.0,0.93,485.0,1160.0
"Bay Street Corridor",76.0,"N/A",25797.0,12190.0,13595.0,1695.0,6860.0,21685.0,7435.0,4110.0,40.0,1.8,24.83,609.0,0.97,335.0,1201.0
"Waterfront Communities-The Island",77.0,"N/A",65913.0,33295.0,32635.0,3650.0,7840.0,57635.0,9020.0,3250.0,65.0,7.6,31.61,1068.0,0.96,485.0,1168.0
"Kensington-Chinatown",78.0,"N/A",17945.0,8760.0,9185.0,1315.0,3350.0,13920.0,6075.0,4050.0,15.0,1.5,37.57,484.0,1.14,335.0,756.0
"University",79.0,"N/A",7607.0,3785.0,3815.0,565.0,1485.0,5730.0,835.0,460.0,35.0,1.4,42.62,901.0,1.47,105.0,238.0
"Palmerston-Little Italy",80.0,"N/A",13826.0,6680.0,7155.0,1280.0,1465.0,10600.0,1135.0,515.0,365.0,1.4,45.81,95.0,0.67,130.0,374.0
"Trinity-Bellwoods",81.0,"N/A",16556.0,8185.0,8370.0,1745.0,1630.0,12455.0,3225.0,2050.0,205.0,1.7,35.45,95.0,1.21,145.0,623.0
"Niagara",82.0,"N/A",31180.0,15410.0,15765.0,2055.0,2415.0,27625.0,2260.0,720.0,35.0,3.1,34.94,1160.0,0.8,115.0,336.0
"Dufferin Grove",83.0,"N/A",11785.0,5820.0,5955.0,1285.0,1065.0,8990.0,845.0,420.0,80.0,1.4,40.07,32.0,1.06,90.0,383.0
"Little Portugal",84.0,"N/A",15559.0,7640.0,7920.0,1400.0,1605.0,12305.0,1435.0,640.0,40.0,1.2,37.58,120.0,1.22,75.0,529.0
"South Parkdale",85.0,"N/A",21849.0,10950.0,10895.0,2115.0,2275.0,17190.0,680.0,290.0,25.0,2.3,26.84,172.0,1.53,350.0,804.0
"Roncesvalles",86.0,"N/A",14974.0,7445.0,7535.0,2300.0,1305.0,10990.0,560.0,250.0,10.0,1.5,44.85,26.0,1.23,300.0,844.0
"High Park-Swansea",87.0,"N/A",23925.0,11170.0,12765.0,3540.0,2125.0,16570.0,740.0,185.0,35.0,5.3,46.53,56.0,0.86,355.0,638.0
"High Park North",88.0,"N/A",22162.0,10410.0,11745.0,2850.0,1890.0,16120.0,830.0,220.0,25.0,1.9,40.24,16.0,0.94,375.0,698.0
"Runnymede-Bloor West Village",89.0,"N/A",10070.0,4785.0,5280.0,2050.0,960.0,6780.0,365.0,70.0,25.0,1.6,45.64,0.0,0.73,70.0,267.0
"Junction Area",90.0,"N/A",14366.0,7020.0,7350.0,2190.0,1465.0,10670.0,885.0,310.0,55.0,2.6,44.09,105.0,0.75,60.0,558.0
"Weston-Pellam Park",91.0,"N/A",11098.0,5585.0,5520.0,1675.0,1415.0,8100.0,285.0,150.0,295.0,1.5,52.57,6.0,1.16,135.0,245.0
"Corso Italia-Davenport",92.0,"N/A",14133.0,6965.0,7170.0,1910.0,1545.0,10215.0,445.0,260.0,890.0,1.9,37.94,5.0,1.0,90.0,416.0
"Dovercourt-Wallace Emerson-Juncti",93.0,"N/A",36625.0,18075.0,18560.0,4480.0,3925.0,27635.0,2825.0,1480.0,545.0,3.7,35.06,36.0,1.02,235.0,894.0
"Wychwood",94.0,"N/A",14349.0,6640.0,7705.0,1860.0,1320.0,9345.0,805.0,415.0,235.0,1.7,40.49,81.0,1.17,240.0,774.0
"Annex",95.0,"N/A",30526.0,14365.0,16160.0,2360.0,3750.0,22260.0,2145.0,780.0,200.0,2.8,38.85,1208.0,1.19,400.0,1515.0
"Casa Loma",96.0,"N/A",10968.0,5090.0,5880.0,1200.0,1080.0,7095.0,420.0,135.0,20.0,1.9,32.33,81.0,1.15,215.0,539.0
"Yonge-St.Clair",97.0,"N/A",12528.0,5615.0,6905.0,1210.0,920.0,8405.0,575.0,125.0,15.0,1.2,32.65,33.0,1.0,230.0,570.0
"Rosedale-Moore Park",98.0,"N/A",20923.0,9655.0,11265.0,2625.0,2185.0,13160.0,1150.0,330.0,15.0,4.6,32.2,1875.0,0.71,405.0,1055.0
"Mount Pleasant East",99.0,"N/A",16775.0,7790.0,8990.0,2980.0,1705.0,11345.0,990.0,205.0,5.0,3.1,50.4,242.0,0.6,285.0,590.0
"Yonge-Eglinton",100.0,"N/A",11817.0,5520.0,6295.0,1800.0,1225.0,8410.0,980.0,175.0,20.0,1.6,31.95,96.0,0.67,120.0,305.0
"Forest Hill South",101.0,"N/A",10732.0,4890.0,5845.0,1365.0,1355.0,7110.0,460.0,210.0,10.0,2.5,18.49,51.0,0.88,200.0,500.0
"Forest Hill North",102.0,"N/A",12806.0,5780.0,7030.0,2060.0,1500.0,8625.0,265.0,105.0,35.0,1.6,29.11,3.0,0.64,215.0,750.0
"Lawrence Park South",103.0,"N/A",15179.0,7190.0,7995.0,2845.0,2095.0,10095.0,865.0,215.0,15.0,3.2,37.53,102.0,0.73,135.0,310.0
"Mount Pleasant West",104.0,"N/A",29658.0,13345.0,16320.0,2380.0,2520.0,22680.0,1515.0,525.0,30.0,1.3,41.6,168.0,1.05,630.0,971.0
"Lawrence Park North",105.0,"N/A",14607.0,7055.0,7550.0,3280.0,1670.0,9390.0,1195.0,240.0,10.0,2.3,52.03,19.0,0.68,160.0,359.0
